Co_Ref,Time_to_Renewal,crm_accreditation_completed,crm_timely_completion,crm_progress_towards_accreditation,crm_delays_in_accreditation,crm_contractor_suggested_leave,crm_contractor_engagement,crm_contractor_sentiment,crm_contractor_sentiment_score,crm_dts_or_ssip_mentioned,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_level,crm_platform_issues_raised,crm_agent_chased_contractor,crm_agent_chase_count,crm_accreditation_issues,crm_membership_overdue,crm_auto_renewal_status,crm_dissatisified_with_renewal_price,crm_customer_complained,crm_refund_mentioned,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,year
ew5509,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
fe3240,prior_year,not discussed,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,yes,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
hz2481,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ix7941,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
nd9435,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
qj2904,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
st3735,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
uo9526,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
xs9002,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ao7853,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
cj3486,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
dc1748,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
gj7925,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
gs4669,pre_renewal,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
hm4893,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ld5986,14_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,yes,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
pq0831,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
sa4037,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ue1379,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
av8515,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ay5082,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
bd3474,45_out,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
by7546,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
dp8999,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,yes,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
dr7960,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,yes,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
eg6915,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
eu0651,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
fn3389,45_out,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ft5166,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
gf5268,pre_renewal,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
jg0464,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
lh5743,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ng7231,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
tv9502,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
tz9074,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
uj7359,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
bw2680,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
dv7453,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
mi7767,prior_year,yes,yes,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
pg8568,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
td4762,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
us7135,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,no,no,no,no,no,not discussed,2025
wa3191,45_out,yes,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,no,no,no,no,no,not discussed,2025
gj1357,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
lo1889,45_out,yes,yes,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
os9708,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
pg6384,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
pj3070,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
sz8777,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ue7551,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
xl0915,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
zv3775,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
bk8176,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
fh6828,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,yes,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
jf1062,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,yes,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
nf7150,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
nx4515,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
nz3502,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
pz2339,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
tf2215,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
cm8868,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ew8975,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ey9612,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
gr3539,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
hh7815,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
hu0050,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ib8653,14_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
il5989,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
kf0986,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
lr0277,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
nt8051,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
pn7409,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,no,no,no,no,no,not discussed,2025
qm9253,14_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,yes,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
qx5316,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
zv4373,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
kr9735,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
yk0956,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
zm0701,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
dr5238,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ho1406,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
xx4239,45_out,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
la4043,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
od5846,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
tw1665,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
vj9226,prior_year,yes,yes,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
gz9958,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
dl5278,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
km3061,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
ph7563,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
bx1662,prior_year,yes,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
cp1264,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
kj0900,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
xc8005,prior_year,no,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
na3019,14_out,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
cg2788,45_out,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
dl1320,45_out,no,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
gp8870,45_out,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2026
nm6556,prior_year,no,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,yes,yes,3,yes,not discussed,0,no,no,no,no,no,not discussed,2025
ps6053,45_out,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ue1416,14_out,no,not discussed,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ay3750,45_out,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
is8602,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
jc9942,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
pk5803,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
hh4181,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
vm9723,14_out,no,not discussed,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
zq4299,prior_year,no,not discussed,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,yes,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ol0437,prior_year,no,not discussed,yes,no,no,yes,neutral,50,no,yes,no,in progress,no,yes,3,yes,not discussed,0,yes,no,no,no,no,not discussed,2025
kq3302,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ne0763,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
qe9092,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
rk1651,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
jf3205,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
li1601,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
ty2476,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,no,no,no,no,no,no,2025
ul9940,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
fy3196,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
zt2167,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
mo4821,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
nq3647,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
zs7591,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
rh0199,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
un5064,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
vz5924,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
jy8824,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
uw1993,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
il3742,prior_year,no,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
vf8097,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
ii9270,14_out,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
zx6056,prior_year,no,no,yes,no,no,yes,neutral,50,no,yes,no,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
ht8567,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,no,2025
vl5514,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,no,2025
wl7373,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,no,2025
ot5586,prior_year,no,no,yes,no,no,yes,neutral,50,no,yes,no,in progress,no,yes,4,yes,not discussed,0,no,no,no,no,no,not discussed,2025
yb6616,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,yes,yes,4,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
zy4553,prior_year,yes,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,no,2025
vt9215,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,no,2025
jo5399,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,no,2025
ny2427,45_out,no,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
gj3932,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,no,2025
on3801,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,no,2026
dx2012,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,yes,2025
me9177,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ws5672,45_out,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,4,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ir3769,prior_year,no,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,4,yes,not discussed,0,no,no,no,no,no,not discussed,2025
gr5679,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,5,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
jn6172,prior_year,yes,no,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,7,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
wz5029,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,5,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
iz1896,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,more than 5,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ha0091,14_out,no,not discussed,yes,no,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,8+,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
yl7549,prior_year,no,no,yes,no,no,yes,neutral,50,yes,yes,no,in progress,no,yes,5,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
ax0272,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,no,2025
bf6655,45_out,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,yes,2,yes,not discussed,0,no,no,no,no,no,no,2025
lh9204,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,yes,yes,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,no,2025
oe0470,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,yes,2025
gi0813,prior_year,no,no,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,no,2025
qx5968,prior_year,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,not discussed,in progress,yes,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
rl9196,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,yes,2,yes,not discussed,0,no,no,no,no,no,not discussed,2025
wf2780,prior_year,no,no,yes,no,no,yes,neutral,50,yes,yes,yes,in progress,no,yes,2,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
bu4236,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,yes,yes,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
md3666,45_out,yes,no,yes,no,not discussed,yes,neutral,50,yes,not discussed,yes,in progress,no,yes,3,yes,not discussed,0,no,no,no,no,no,not discussed,2025
zq0131,prior_year,yes,no,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,yes,3,yes,not discussed,0,not discussed,no,no,no,no,no,2025
mp7274,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,no,0,yes,not discussed,0,not discussed,no,no,no,no,no,2025
kb4182,45_out,no,no,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,no,0,yes,not discussed,0,not discussed,no,no,no,no,no,2025
lu1324,45_out,yes,yes,yes,no,no,yes,neutral,50,yes,yes,yes,in progress,no,no,0,yes,not discussed,0,not discussed,no,no,no,no,no,2025
ok5952,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,no,0,yes,not discussed,0,not discussed,no,no,no,no,no,2025
dp8659,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,yes,in progress,no,no,0,yes,not discussed,0,not discussed,no,no,no,no,not discussed,2025
